Scores,Indicators
52.37,"B.1.1 Reproductive, Maternal, New-born and Child Health"
58.4,"B.1.1 Reproductive, Maternal, New-born and Child Health"
41.99,"B.1.1 Reproductive, Maternal, New-born and Child Health"
14.71,"B.1.1 Reproductive, Maternal, New-born and Child Health"
60.13,"B.1.1 Reproductive, Maternal, New-born and Child Health"
80.28,"B.1.1 Reproductive, Maternal, New-born and Child Health"
77.41,"B.1.1 Reproductive, Maternal, New-born and Child Health"
65.73,"B.1.1 Reproductive, Maternal, New-born and Child Health"
56.75,"B.1.1 Reproductive, Maternal, New-born and Child Health"
47.74,"B.1.1 Reproductive, Maternal, New-born and Child Health"
43.97,"B.1.1 Reproductive, Maternal, New-born and Child Health"
13.93,"B.1.1 Reproductive, Maternal, New-born and Child Health"
13.02,"B.1.1 Reproductive, Maternal, New-born and Child Health"
57.64,B.1.2 Infectious Diseases
82,B.1.2 Infectious Diseases
83.03,B.1.2 Infectious Diseases
68.09,B.1.2 Infectious Diseases
73.76,B.1.2 Infectious Diseases
89.51,B.1.2 Infectious Diseases
79.76,B.1.2 Infectious Diseases
75.23,B.1.2 Infectious Diseases
65.98,B.1.2 Infectious Diseases
54.07,B.1.2 Infectious Diseases
83.19,B.1.2 Infectious Diseases
62.55,B.1.2 Infectious Diseases
76.41,B.1.2 Infectious Diseases
72.77,B.1.2 Infectious Diseases
46.47,B.1.2 Infectious Diseases
67.28,B.1.2 Infectious Diseases
62.89,B.1.2 Infectious Diseases
44.93,B.1.2 Infectious Diseases
53.95,B.1.2 Infectious Diseases
76.65,B.1.2 Infectious Diseases
71.58,B.1.2 Infectious Diseases
56.92,B.1.2 Infectious Diseases
51.41,B.1.2 Infectious Diseases
66.09,B.1.2 Infectious Diseases
57.87,B.1.2 Infectious Diseases
37.4,B.1.2 Infectious Diseases
86.79,B.1.2 Infectious Diseases
25.95,B.1.2 Infectious Diseases
46.86,B.1.2 Infectious Diseases
69.39,B.1.2 Infectious Diseases
77.41,B.1.2 Infectious Diseases
52.89,B.1.2 Infectious Diseases
67.56,B.1.2 Infectious Diseases
41.07,B.1.2 Infectious Diseases
78.01,B.1.2 Infectious Diseases
69.05,B.1.2 Infectious Diseases
69.93,B.1.2 Infectious Diseases
77.73,B.1.2 Infectious Diseases
40.3,B.1.2 Infectious Diseases
83.93,B.1.2 Infectious Diseases
62.77,B.1.2 Infectious Diseases
65.97,B.1.2 Infectious Diseases
87.12,B.1.2 Infectious Diseases
67.22,B.1.2 Infectious Diseases
46.8,B.1.2 Infectious Diseases
42.62,B.1.2 Infectious Diseases
89.4,B.1.2 Infectious Diseases
74.99,B.1.2 Infectious Diseases
37.02,B.1.2 Infectious Diseases
59.35,B.1.2 Infectious Diseases
85.47,B.1.2 Infectious Diseases
40.57,B.1.2 Infectious Diseases
79.81,B.1.2 Infectious Diseases
40.72,B.1.2 Infectious Diseases
70.21,B.1.2 Infectious Diseases
76.98,B.1.2 Infectious Diseases
87.39,B.1.2 Infectious Diseases
47.79,B.1.2 Infectious Diseases
56.62,B.1.2 Infectious Diseases
80.02,B.1.2 Infectious Diseases
71.55,B.1.2 Infectious Diseases
80.13,B.1.2 Infectious Diseases
73.2,B.1.2 Infectious Diseases
78,B.1.2 Infectious Diseases
84.1,B.1.2 Infectious Diseases
78.05,B.1.2 Infectious Diseases
71.53,B.1.2 Infectious Diseases
47.82,B.1.2 Infectious Diseases
67.56,B.1.2 Infectious Diseases
59.82,B.1.2 Infectious Diseases
66.78,B.1.2 Infectious Diseases
68.75,B.1.2 Infectious Diseases
47.75,B.1.2 Infectious Diseases
36.85,B.1.2 Infectious Diseases
64.24,B.1.2 Infectious Diseases
63.46,B.1.2 Infectious Diseases
73.59,B.1.2 Infectious Diseases
40.37,B.1.2 Infectious Diseases
34.4,B.1.2 Infectious Diseases
67.78,B.1.2 Infectious Diseases
51.07,B.1.2 Infectious Diseases
75.84,B.1.2 Infectious Diseases
54.69,B.1.2 Infectious Diseases
78.3,B.1.2 Infectious Diseases
70.4,B.1.2 Infectious Diseases
69.29,B.1.2 Infectious Diseases
64.1,B.1.2 Infectious Diseases
59.95,B.1.2 Infectious Diseases
82.3,B.1.2 Infectious Diseases
26.37,B.1.2 Infectious Diseases
52.74,B.1.2 Infectious Diseases
35.71,B.1.2 Infectious Diseases
63.26,B.1.2 Infectious Diseases
78.03,B.1.2 Infectious Diseases
90.85,B.1.2 Infectious Diseases
66.68,B.1.2 Infectious Diseases
49.64,B.1.2 Infectious Diseases
37.36,B.1.2 Infectious Diseases
62.01,B.1.2 Infectious Diseases
88.12,B.1.2 Infectious Diseases
83.53,B.1.2 Infectious Diseases
61.47,B.1.2 Infectious Diseases
34.68,B.1.2 Infectious Diseases
66.58,B.1.2 Infectious Diseases
59.27,B.1.2 Infectious Diseases
52.78,B.1.2 Infectious Diseases
73.79,B.1.2 Infectious Diseases
71.14,B.1.2 Infectious Diseases
75.1,B.1.2 Infectious Diseases
72.11,B.1.2 Infectious Diseases
71.33,B.1.2 Infectious Diseases
46.78,B.1.2 Infectious Diseases
83.99,B.1.2 Infectious Diseases
51.47,B.1.2 Infectious Diseases
65.95,B.1.2 Infectious Diseases
62.93,B.1.2 Infectious Diseases
31,B.1.2 Infectious Diseases
80.53,B.1.2 Infectious Diseases
77.36,B.1.2 Infectious Diseases
68.76,B.1.2 Infectious Diseases
40.38,B.1.2 Infectious Diseases
71.63,B.1.2 Infectious Diseases
73.29,B.1.2 Infectious Diseases
79.75,B.1.2 Infectious Diseases
59.31,B.1.2 Infectious Diseases
77.73,B.1.2 Infectious Diseases
78.81,B.1.2 Infectious Diseases
70.94,B.1.2 Infectious Diseases
38.14,B.1.2 Infectious Diseases
69.23,B.1.2 Infectious Diseases
50.86,B.1.2 Infectious Diseases
45.82,B.1.2 Infectious Diseases
80.53,B.1.2 Infectious Diseases
71.87,B.1.2 Infectious Diseases
73.61,B.1.2 Infectious Diseases
82.92,B.1.2 Infectious Diseases
36.45,B.1.2 Infectious Diseases
60.39,B.1.2 Infectious Diseases
89.66,B.1.2 Infectious Diseases
73.12,B.1.2 Infectious Diseases
76.41,B.1.2 Infectious Diseases
66.24,B.1.2 Infectious Diseases
78.87,B.1.2 Infectious Diseases
72.28,B.1.2 Infectious Diseases
29.37,B.1.2 Infectious Diseases
32.17,B.1.2 Infectious Diseases
66.87,B.1.3 Non-communicable Diseases and Mental Health
45.46,B.1.3 Non-communicable Diseases and Mental Health
68.72,B.1.3 Non-communicable Diseases and Mental Health
38.63,B.1.3 Non-communicable Diseases and Mental Health
43.57,B.1.3 Non-communicable Diseases and Mental Health
40.84,B.1.3 Non-communicable Diseases and Mental Health
26.95,B.1.3 Non-communicable Diseases and Mental Health
49.16,B.1.3 Non-communicable Diseases and Mental Health
66.66,B.1.3 Non-communicable Diseases and Mental Health
60.9,B.1.3 Non-communicable Diseases and Mental Health
34.75,B.1.3 Non-communicable Diseases and Mental Health
36.27,B.1.3 Non-communicable Diseases and Mental Health
30.94,B.1.3 Non-communicable Diseases and Mental Health
59.75,B.1.3 Non-communicable Diseases and Mental Health
65.62,B.1.3 Non-communicable Diseases and Mental Health
50.28,B.1.3 Non-communicable Diseases and Mental Health
44.51,B.1.3 Non-communicable Diseases and Mental Health
45.42,B.1.3 Non-communicable Diseases and Mental Health
45.61,B.1.3 Non-communicable Diseases and Mental Health
55.19,B.1.3 Non-communicable Diseases and Mental Health
21.27,B.1.3 Non-communicable Diseases and Mental Health
74.65,B.1.3 Non-communicable Diseases and Mental Health
71.33,B.1.3 Non-communicable Diseases and Mental Health
54.48,B.1.3 Non-communicable Diseases and Mental Health
58.35,B.1.3 Non-communicable Diseases and Mental Health
66.32,B.1.3 Non-communicable Diseases and Mental Health
39.15,B.1.3 Non-communicable Diseases and Mental Health
53.6,B.1.3 Non-communicable Diseases and Mental Health
74.8,B.1.3 Non-communicable Diseases and Mental Health
45.81,B.1.3 Non-communicable Diseases and Mental Health
38.23,B.1.3 Non-communicable Diseases and Mental Health
60.77,B.1.3 Non-communicable Diseases and Mental Health
52.39,B.1.3 Non-communicable Diseases and Mental Health
69.1,B.1.3 Non-communicable Diseases and Mental Health
15.9,B.1.3 Non-communicable Diseases and Mental Health
29.93,B.1.3 Non-communicable Diseases and Mental Health
47.66,B.1.3 Non-communicable Diseases and Mental Health
25.79,B.1.3 Non-communicable Diseases and Mental Health
66.97,B.1.3 Non-communicable Diseases and Mental Health
29.09,B.1.3 Non-communicable Diseases and Mental Health
54.13,B.1.3 Non-communicable Diseases and Mental Health
57.06,B.1.3 Non-communicable Diseases and Mental Health
58.6,B.1.3 Non-communicable Diseases and Mental Health
31.76,B.1.3 Non-communicable Diseases and Mental Health
74.67,B.1.3 Non-communicable Diseases and Mental Health
33.95,B.1.3 Non-communicable Diseases and Mental Health
40.03,B.1.3 Non-communicable Diseases and Mental Health
33.48,B.1.3 Non-communicable Diseases and Mental Health
63.41,B.1.3 Non-communicable Diseases and Mental Health
27.17,B.1.3 Non-communicable Diseases and Mental Health
27.5,B.1.3 Non-communicable Diseases and Mental Health
66.1,B.1.3 Non-communicable Diseases and Mental Health
30.54,B.1.3 Non-communicable Diseases and Mental Health
67.76,B.1.3 Non-communicable Diseases and Mental Health
64.65,B.1.3 Non-communicable Diseases and Mental Health
16.84,B.1.3 Non-communicable Diseases and Mental Health
45.32,B.1.3 Non-communicable Diseases and Mental Health
42.66,B.1.3 Non-communicable Diseases and Mental Health
50.65,B.1.3 Non-communicable Diseases and Mental Health
61.12,B.1.3 Non-communicable Diseases and Mental Health
77.03,B.1.3 Non-communicable Diseases and Mental Health
45.81,B.1.3 Non-communicable Diseases and Mental Health
51.56,B.1.3 Non-communicable Diseases and Mental Health
26.55,B.1.3 Non-communicable Diseases and Mental Health
29.54,B.1.3 Non-communicable Diseases and Mental Health
83.64,B.1.3 Non-communicable Diseases and Mental Health
39.44,B.1.3 Non-communicable Diseases and Mental Health
75.7,B.1.3 Non-communicable Diseases and Mental Health
65.86,B.1.3 Non-communicable Diseases and Mental Health
52.54,B.1.3 Non-communicable Diseases and Mental Health
22.26,B.1.3 Non-communicable Diseases and Mental Health
58.82,B.1.3 Non-communicable Diseases and Mental Health
21.86,B.1.3 Non-communicable Diseases and Mental Health
78.69,B.1.3 Non-communicable Diseases and Mental Health
70.14,B.1.3 Non-communicable Diseases and Mental Health
22.67,B.1.3 Non-communicable Diseases and Mental Health
42.41,B.1.3 Non-communicable Diseases and Mental Health
67.23,B.1.3 Non-communicable Diseases and Mental Health
75.53,B.1.3 Non-communicable Diseases and Mental Health
55.51,B.1.3 Non-communicable Diseases and Mental Health
76.45,B.1.3 Non-communicable Diseases and Mental Health
32.54,B.1.3 Non-communicable Diseases and Mental Health
83.21,B.1.3 Non-communicable Diseases and Mental Health
24.94,B.1.3 Non-communicable Diseases and Mental Health
49.08,B.1.3 Non-communicable Diseases and Mental Health
53.68,B.1.3 Non-communicable Diseases and Mental Health
52.43,B.1.3 Non-communicable Diseases and Mental Health
29.03,B.1.3 Non-communicable Diseases and Mental Health
46.28,B.1.3 Non-communicable Diseases and Mental Health
57.55,B.1.3 Non-communicable Diseases and Mental Health
45.7,B.1.3 Non-communicable Diseases and Mental Health
56.89,B.1.3 Non-communicable Diseases and Mental Health
50.96,B.1.3 Non-communicable Diseases and Mental Health
34.87,B.1.3 Non-communicable Diseases and Mental Health
39.43,B.1.3 Non-communicable Diseases and Mental Health
55.14,B.1.3 Non-communicable Diseases and Mental Health
77.78,B.1.3 Non-communicable Diseases and Mental Health
85.73,B.1.3 Non-communicable Diseases and Mental Health
19.28,B.1.3 Non-communicable Diseases and Mental Health
41.03,B.1.3 Non-communicable Diseases and Mental Health
75.93,B.1.3 Non-communicable Diseases and Mental Health
46.4,B.1.3 Non-communicable Diseases and Mental Health
46.33,B.1.3 Non-communicable Diseases and Mental Health
54.57,B.1.3 Non-communicable Diseases and Mental Health
69.76,B.1.3 Non-communicable Diseases and Mental Health
53.73,B.1.3 Non-communicable Diseases and Mental Health
27.68,B.1.3 Non-communicable Diseases and Mental Health
22.6,B.1.3 Non-communicable Diseases and Mental Health
84.2,B.1.3 Non-communicable Diseases and Mental Health
29.66,B.1.3 Non-communicable Diseases and Mental Health
30.44,B.1.3 Non-communicable Diseases and Mental Health
70.04,B.1.3 Non-communicable Diseases and Mental Health
70.56,B.1.3 Non-communicable Diseases and Mental Health
73.19,B.1.3 Non-communicable Diseases and Mental Health
17.13,B.1.3 Non-communicable Diseases and Mental Health
38.59,B.1.3 Non-communicable Diseases and Mental Health
68.81,B.1.3 Non-communicable Diseases and Mental Health
64.52,B.1.3 Non-communicable Diseases and Mental Health
38.9,B.1.3 Non-communicable Diseases and Mental Health
28.66,B.1.3 Non-communicable Diseases and Mental Health
37.88,B.1.3 Non-communicable Diseases and Mental Health
54.42,B.1.3 Non-communicable Diseases and Mental Health
33.6,B.1.3 Non-communicable Diseases and Mental Health
32.49,B.1.3 Non-communicable Diseases and Mental Health
74.71,B.1.3 Non-communicable Diseases and Mental Health
31.17,B.1.3 Non-communicable Diseases and Mental Health
37.54,B.1.3 Non-communicable Diseases and Mental Health
66.39,B.1.3 Non-communicable Diseases and Mental Health
80.08,B.1.3 Non-communicable Diseases and Mental Health
40.9,B.1.3 Non-communicable Diseases and Mental Health
66.99,B.1.3 Non-communicable Diseases and Mental Health
67.51,B.1.3 Non-communicable Diseases and Mental Health
41.36,B.1.3 Non-communicable Diseases and Mental Health
58.01,B.1.3 Non-communicable Diseases and Mental Health
53.69,B.1.3 Non-communicable Diseases and Mental Health
67.86,B.1.3 Non-communicable Diseases and Mental Health
81.13,B.1.3 Non-communicable Diseases and Mental Health
35.6,B.1.3 Non-communicable Diseases and Mental Health
77.92,B.1.3 Non-communicable Diseases and Mental Health
40.75,B.1.3 Non-communicable Diseases and Mental Health
29.18,B.1.3 Non-communicable Diseases and Mental Health
23.04,B.1.3 Non-communicable Diseases and Mental Health
62.49,B.1.3 Non-communicable Diseases and Mental Health
37.34,B.1.3 Non-communicable Diseases and Mental Health
75.7,B.1.3 Non-communicable Diseases and Mental Health
56.16,B.1.3 Non-communicable Diseases and Mental Health
32.11,B.1.4 Injuries and Violence
47.76,B.1.4 Injuries and Violence
35.29,B.1.4 Injuries and Violence
39.82,B.1.4 Injuries and Violence
38.65,B.1.4 Injuries and Violence
62.06,B.1.4 Injuries and Violence
60.9,B.1.4 Injuries and Violence
44.69,B.1.4 Injuries and Violence
60.27,B.1.4 Injuries and Violence
44.64,B.1.4 Injuries and Violence
37.66,B.1.4 Injuries and Violence
35.62,B.1.4 Injuries and Violence
53.5,B.1.4 Injuries and Violence
39.19,B.1.4 Injuries and Violence
22.81,B.1.4 Injuries and Violence
49.24,B.1.4 Injuries and Violence
32.6,B.1.4 Injuries and Violence
23.77,B.1.4 Injuries and Violence
36.53,B.1.4 Injuries and Violence
65.74,B.1.4 Injuries and Violence
48.9,B.1.4 Injuries and Violence
13.38,B.1.4 Injuries and Violence
11.88,B.1.4 Injuries and Violence
29.4,B.1.4 Injuries and Violence
38.59,B.1.4 Injuries and Violence
19.9,B.1.4 Injuries and Violence
53.36,B.1.4 Injuries and Violence
9.83,B.1.4 Injuries and Violence
11.8,B.1.4 Injuries and Violence
41.28,B.1.4 Injuries and Violence
40.31,B.1.4 Injuries and Violence
38.68,B.1.4 Injuries and Violence
43.74,B.1.4 Injuries and Violence
18.44,B.1.4 Injuries and Violence
56.11,B.1.4 Injuries and Violence
50.79,B.1.4 Injuries and Violence
54.2,B.1.4 Injuries and Violence
52.59,B.1.4 Injuries and Violence
13.47,B.1.4 Injuries and Violence
64.27,B.1.4 Injuries and Violence
19.84,B.1.4 Injuries and Violence
36.61,B.1.4 Injuries and Violence
41.43,B.1.4 Injuries and Violence
48.84,B.1.4 Injuries and Violence
14.66,B.1.4 Injuries and Violence
41.49,B.1.4 Injuries and Violence
52.65,B.1.4 Injuries and Violence
54.89,B.1.4 Injuries and Violence
28.8,B.1.4 Injuries and Violence
43.43,B.1.4 Injuries and Violence
58.84,B.1.4 Injuries and Violence
20.77,B.1.4 Injuries and Violence
57.61,B.1.4 Injuries and Violence
19.71,B.1.4 Injuries and Violence
27.89,B.1.4 Injuries and Violence
51.96,B.1.4 Injuries and Violence
52.32,B.1.4 Injuries and Violence
44.63,B.1.4 Injuries and Violence
44.61,B.1.4 Injuries and Violence
29.81,B.1.4 Injuries and Violence
36.53,B.1.4 Injuries and Violence
59.05,B.1.4 Injuries and Violence
70.05,B.1.4 Injuries and Violence
60.59,B.1.4 Injuries and Violence
66.75,B.1.4 Injuries and Violence
42.24,B.1.4 Injuries and Violence
33.65,B.1.4 Injuries and Violence
19.46,B.1.4 Injuries and Violence
40.36,B.1.4 Injuries and Violence
30.22,B.1.4 Injuries and Violence
38.54,B.1.4 Injuries and Violence
40.36,B.1.4 Injuries and Violence
16.81,B.1.4 Injuries and Violence
12.18,B.1.4 Injuries and Violence
35.39,B.1.4 Injuries and Violence
36.26,B.1.4 Injuries and Violence
61.27,B.1.4 Injuries and Violence
17.56,B.1.4 Injuries and Violence
15.4,B.1.4 Injuries and Violence
35.46,B.1.4 Injuries and Violence
22.36,B.1.4 Injuries and Violence
60.6,B.1.4 Injuries and Violence
26.33,B.1.4 Injuries and Violence
40.05,B.1.4 Injuries and Violence
32.26,B.1.4 Injuries and Violence
47.15,B.1.4 Injuries and Violence
22.54,B.1.4 Injuries and Violence
46.65,B.1.4 Injuries and Violence
41.21,B.1.4 Injuries and Violence
14.03,B.1.4 Injuries and Violence
31.67,B.1.4 Injuries and Violence
17.87,B.1.4 Injuries and Violence
32.21,B.1.4 Injuries and Violence
66.82,B.1.4 Injuries and Violence
56.1,B.1.4 Injuries and Violence
40.95,B.1.4 Injuries and Violence
16.7,B.1.4 Injuries and Violence
22.68,B.1.4 Injuries and Violence
44.57,B.1.4 Injuries and Violence
63.34,B.1.4 Injuries and Violence
52.31,B.1.4 Injuries and Violence
34.14,B.1.4 Injuries and Violence
34.04,B.1.4 Injuries and Violence
37.74,B.1.4 Injuries and Violence
37.35,B.1.4 Injuries and Violence
44.63,B.1.4 Injuries and Violence
51.74,B.1.4 Injuries and Violence
56.01,B.1.4 Injuries and Violence
54.49,B.1.4 Injuries and Violence
40.41,B.1.4 Injuries and Violence
25.93,B.1.4 Injuries and Violence
17.61,B.1.4 Injuries and Violence
27.29,B.1.4 Injuries and Violence
26.91,B.1.4 Injuries and Violence
54.95,B.1.4 Injuries and Violence
47.04,B.1.4 Injuries and Violence
13.06,B.1.4 Injuries and Violence
74.99,B.1.4 Injuries and Violence
51.82,B.1.4 Injuries and Violence
62.98,B.1.4 Injuries and Violence
15.89,B.1.4 Injuries and Violence
60.24,B.1.4 Injuries and Violence
58.9,B.1.4 Injuries and Violence
39.73,B.1.4 Injuries and Violence
20.59,B.1.4 Injuries and Violence
60.84,B.1.4 Injuries and Violence
65.65,B.1.4 Injuries and Violence
37.7,B.1.4 Injuries and Violence
19.76,B.1.4 Injuries and Violence
37.04,B.1.4 Injuries and Violence
44.82,B.1.4 Injuries and Violence
20.49,B.1.4 Injuries and Violence
58.18,B.1.4 Injuries and Violence
37.59,B.1.4 Injuries and Violence
48.49,B.1.4 Injuries and Violence
36.67,B.1.4 Injuries and Violence
17.13,B.1.4 Injuries and Violence
