iso,code,country,B.2.3.4_raw_2016,B.2.3.4_raw_2017,B.2.3.4_raw_2018
GRL,304,Greenland,NA,NA,NA
GTM,320,Guatemala,783.8,789.8,707.7
GUY,328,Guyana,1435.9,1420.5,1111.3
HKG,344,Hong Kong,3000,3000,2479.4
HND,340,Honduras,1372.4,1372.7,1372.9
HRV,191,Croatia,2319.4,2250.2,1751.6
HTI,332,Haiti,118.9,118.9,118.9
HUN,348,Hungary,6970.3,7097.1,7314.3
IDN,360,Indonesia,113.7,111.6,106.4
IMN,833,Isle of Man,NA,NA,NA
IND,356,India,1228.8,1273.2,1318.2
IRL,372,Ireland,4901.2,5219.6,5274
IRN,364,Iran,312.9,370.2,370.7
IRQ,368,Iraq,86.9,87.3,95.3
ISL,352,Iceland,5706.8,5820.4,5949.4
ISR,376,Israel,3562.3,3690.6,3872.9
ITA,380,Italy,1449.1,1551.5,1688.2
JAM,388,Jamaica,372.1,373.6,373
JEY,832,Jersey,NA,NA,NA
JOR,400,Jordan,125.6,141.1,123
JPN,392,Japan,8358.2,8403.2,8464.6
KAZ,398,Kazakhstan,1969,1984.8,1897
KEN,404,Kenya,388.1,366.5,338.5
KGZ,417,Kyrgyzstan,1022.1,1190.1,1198.7
KHM,116,Cambodia,196.5,198.9,199.3
KIR,296,Kiribati,NA,NA,NA
KNA,659,Saint Kitts and Nevis,NA,NA,NA
KOR,410,South Korea,7368.3,7640.9,7319
KWT,414,Kuwait,2130,1901.2,1595.3
LAO,418,Laos,1394,1394.6,1395.1
LBN,422,Lebanon,636.1,399.7,377.8
LBR,430,Liberia,1387.6,1388.1,1388.5
LBY,434,Libya,79,79.5,83.8
LCA,662,Saint Lucia,1386.2,1386.5,1386.5
LIE,438,Liechtenstein,5800.2,5864.6,6074
LKA,144,Sri Lanka,824.7,813,875.8
LSO,426,Lesotho,1400,1416.7,1386.6
LTU,440,Lithuania,5259.6,5337,5576.4
LUX,442,Luxembourg,7038.8,7022.2,7393.1
LVA,428,Latvia,5760.8,6135.2,6166.1
MAC,446,Macao,NA,NA,NA
MAR,504,Morocco,607.5,604,409.8
MCO,492,Monaco,NA,NA,NA
MDA,498,Moldova,636.7,632.9,527.2
MDG,450,Madagascar,290.8,290.7,290.7
MDV,462,Maldives,NA,NA,NA
MEX,484,Mexico,2484.8,2505.6,2539.1
MHL,584,Marshall Islands,NA,NA,NA
MKD,807,North Macedonia,633.1,618.9,610.4
MLI,466,Mali,42.1,51.8,60.8
MLT,470,Malta,2590.8,2482.7,2310.3
MMR,104,Myanmar,417.8,456.2,335.4
MNE,499,Montenegro,1138.4,1128.9,793.2
MNG,496,Mongolia,78.7,76.6,93.5
MOZ,508,Mozambique,934.7,1018.4,1026.4
MRT,478,Mauritania,173.2,187.8,178
MUS,480,Mauritius,930.2,818.2,1402.3
MWI,454,Malawi,98.8,97.9,92.9
MYS,458,Malaysia,504.4,503.9,502.7
NAM,516,Namibia,446.3,448.3,448.8
NCL,540,New Caledonia,1286.2,1310.7,1482.4
NER,562,Niger,110.4,111.1,108.5
NGA,566,Nigeria,237.1,236.7,236.2
NIC,558,Nicaragua,734.3,734.7,734.1
NIU,570,Niue,780.8,780.8,780.8
NLD,528,Netherlands,6863.3,7238,5830.8
NOR,578,Norway,6218.6,6184.5,6284.7
NPL,524,Nepal,438,433.3,462
NRU,520,Nauru,NA,NA,NA
NZL,554,New Zealand,4165.6,4237.3,4269.6
OMN,512,Oman,115.8,115.8,115.6
PAK,586,Pakistan,1217.7,1219.9,1222.2
PAN,591,Panama,1395,1462.4,1411.5
PER,604,Peru,1657,1717.7,1814
PHL,608,Philippines,3680.8,3702.4,2733.5
PLW,585,Palau,NA,NA,NA
PNG,598,Papua New Guinea,69.2,68.8,68.3
POL,616,Poland,5976.4,6160.1,6153.1
PRK,408,North Korea,2315.1,2316.2,2315.3
PRT,620,Portugal,3256.3,3303.1,3085.1
PRY,600,Paraguay,2318.2,2330.3,2265.7
PSE,275,State of Palestine,189.3,228.1,219.3
PYF,258,French Polynesia,2091.4,2090.6,2090.4
QAT,634,Qatar,115.8,113.7,183.9
ROU,642,Romania,523.4,506.6,503.1
RUS,643,Russia,2250.1,2598.8,2702.9
RWA,646,Rwanda,179.4,168.8,180.4
SAU,682,Saudi Arabia,514.7,514.9,278.5
SDN,729,Sudan,89.8,90.2,90.4
SEN,686,Senegal,71.6,71.4,71.1
SGP,702,Singapore,NA,NA,NA
SLB,90,Solomon Islands,1385.6,1385.8,1386.1
SLE,694,Sierra Leone,1402,1402.1,1402.3
SLV,222,El Salvador,2717.5,2155.3,1479.1
SMR,674,San Marino,NA,NA,NA
SOM,706,Somalia,137.3,137.3,139.6
SRB,688,Serbia,2279.3,2403.7,2296
SSD,728,South Sudan,151.9,151.8,153.1
STP,678,Sao Tome and Principe,1361.8,1362.2,1362.9
SUR,740,Suriname,2941.2,2687.5,1321.8
SVK,703,Slovakia,2713.9,2742.9,2750.7
SVN,705,Slovenia,5415.6,5711.4,5435.3
SWE,752,Sweden,8775.9,8628.4,8817.2
SWZ,748,Eswatini,294.8,294.5,294.4
SXM,534,Sint Maarten,NA,NA,NA
SYC,690,Seychelles,571.4,635.3,627.2
SYR,760,Syria,161.1,161.9,162.8
TCA,796,Turks and Caicos Islands,NA,NA,NA
TCD,148,Chad,68.4,75.5,72
TGO,768,Togo,1395.3,1395.7,1395.9
THA,764,Thailand,5000,4728.2,4757.9
TJK,762,Tajikistan,702.7,712.1,729.6
TKM,795,Turkmenistan,2056.7,2055.7,1776
TLS,626,Timor-Leste,152.9,156.7,152.9
TON,776,Tonga,1561.4,1561.6,1561.9
TTO,780,Trinidad and Tobago,603.3,449.5,448.8
TUN,788,Tunisia,1247.5,1158.8,1238.8
TUR,792,Turkey,733.7,726.2,722.9
TUV,798,Tuvalu,NA,NA,NA
TWN,158,Taiwan,3604.3,3816.1,4194.1
TZA,834,Tanzania,155,156,155.7
UGA,800,Uganda,422.2,421.3,420.6
UKR,804,Ukraine,3528.4,3689.1,3768.8
URY,858,Uruguay,2641.5,2671.4,2836.8
USA,840,United States of America,10075.7,10160.9,10189
UZB,860,Uzbekistan,1991.3,2018.1,2049.6
VAT,336,Holy See,NA,NA,NA
VCT,670,Saint Vincent and the Grenadines,1354.4,1354.1,1354
VEN,862,Venezuela,990.7,990.6,1076.7
VGB,92,British Virgin Islands,NA,NA,NA
VNM,704,Viet Nam,2644.3,2756.8,2991.6
VUT,548,Vanuatu,206.3,206.1,205.9
WLF,876,Wallis and Futuna Islands,1456.9,1457,1457.2
WSM,882,Samoa,996,995.6,995.5
XKX,689,Kosovo,NA,NA,NA
YEM,887,Yemen,87.5,87.9,87.2
ZAF,710,South Africa,3513.7,3642.8,4468.9
ZMB,894,Zambia,1391.1,1391.9,1395.8
ZWE,716,Zimbabwe,430.1,431,430.5
