iso,code,country,B.2.3.2_raw_2016,B.2.3.2_raw_2017,B.2.3.2_raw_2018
ETH,231,Ethiopia,50,50,50
FIN,246,Finland,91.3,91.5,92.4
FJI,242,Fiji,45,45,45
FLK,238,Falkland Islands,NA,NA,NA
FRA,250,France,90.6,91.6,91.9
FRO,234,Faeroe Islands,NA,NA,NA
FSM,583,Micronesia,30,30,30
GAB,266,Gabon,30,30,30
GBR,826,United Kingdom,83.6,84.7,84.8
GEO,268,Georgia,35,35,37.9
GGY,831,Guernsey,NA,NA,NA
GHA,288,Ghana,42.1,42.3,42.4
GIN,324,Guinea,23.8,22.8,21.2
GMB,270,Gambia,40,40,40
GNB,624,Guinea-Bissau,40,40,40
GNQ,226,Equatorial Guinea,45,45,45
GRC,300,Greece,58.3,58.4,58.2
GRD,308,Grenada,70.6,71.5,72.3
GRL,304,Greenland,NA,NA,NA
GTM,320,Guatemala,50,50,50
GUY,328,Guyana,50,55.3,110.2
HKG,344,Hong Kong,76.6,77,77.7
HND,340,Honduras,61,58.6,58
HRV,191,Croatia,67.2,71.2,72.4
HTI,332,Haiti,60,60,60
HUN,348,Hungary,93.3,93,94.1
IDN,360,Indonesia,22.1,22.1,19.9
IMN,833,Isle of Man,NA,NA,NA
IND,356,India,35,35,35
IRL,372,Ireland,85.2,87.7,87.7
IRN,364,Iran,NA,NA,NA
IRQ,368,Iraq,NA,NA,NA
ISL,352,Iceland,80,82.4,83.5
ISR,376,Israel,85.8,78,78
ITA,380,Italy,130.3,128.9,130.7
JAM,388,Jamaica,74,72.4,68.4
JEY,832,Jersey,NA,NA,NA
JOR,400,Jordan,NA,NA,NA
JPN,392,Japan,78,77.9,78.2
KAZ,398,Kazakhstan,73.4,74.6,74.6
KEN,404,Kenya,34.3,36.1,65.4
KGZ,417,Kyrgyzstan,71,70.4,73.4
KHM,116,Cambodia,50,50,50
KIR,296,Kiribati,40,40,40
KNA,659,Saint Kitts and Nevis,62.9,55,52.5
KOR,410,South Korea,76.5,76.5,76.3
KWT,414,Kuwait,NA,NA,NA
LAO,418,Laos,27.6,27.6,27.7
LBN,422,Lebanon,55,55,55
LBR,430,Liberia,40,40,40
LBY,434,Libya,NA,NA,NA
LCA,662,Saint Lucia,57,57,57
LIE,438,Liechtenstein,NA,NA,NA
LKA,144,Sri Lanka,72.2,72.2,72.2
LSO,426,Lesotho,50,50,50
LTU,440,Lithuania,82.6,82.4,80.7
LUX,442,Luxembourg,78.7,81.9,80.7
LVA,428,Latvia,80.7,81.7,79.9
MAC,446,Macao,86.1,86.7,87.3
MAR,504,Morocco,49.6,49.6,49.6
MCO,492,Monaco,NA,NA,NA
MDA,498,Moldova,87.3,78.3,89
MDG,450,Madagascar,70.1,70.1,70.1
MDV,462,Maldives,NA,NA,NA
MEX,484,Mexico,81.9,82.6,81.1
MHL,584,Marshall Islands,NA,NA,NA
MKD,807,North Macedonia,104,95,89.2
MLI,466,Mali,40,40,40
MLT,470,Malta,87.8,85.3,83.3
MMR,104,Myanmar,78.5,74.9,85
MNE,499,Montenegro,91.2,119.2,105.4
MNG,496,Mongolia,77.6,50,30.5
MOZ,508,Mozambique,58.5,55.5,49.1
MRT,478,Mauritania,NA,NA,NA
MUS,480,Mauritius,70.2,67.6,67.7
MWI,454,Malawi,36.2,36.2,28.5
MYS,458,Malaysia,129.6,132.1,126.9
NAM,516,Namibia,55,55,55
NCL,540,New Caledonia,89.5,87.5,89.4
NER,562,Niger,45,45,45
NGA,566,Nigeria,45,45,45
NIC,558,Nicaragua,50.7,51.2,52.6
NIU,570,Niue,63.9,63.7,63.4
NLD,528,Netherlands,94.5,96,95.9
NOR,578,Norway,83.4,83.3,80.6
NPL,524,Nepal,35.7,36.2,38.6
NRU,520,Nauru,30,30,30
NZL,554,New Zealand,71,71.1,69.8
OMN,512,Oman,NA,NA,NA
PAK,586,Pakistan,NA,NA,NA
PAN,591,Panama,74,74,74
PER,604,Peru,51.9,51.4,52.5
PHL,608,Philippines,69.7,67.7,67.6
PLW,585,Palau,NA,NA,NA
PNG,598,Papua New Guinea,40,40,40
POL,616,Poland,90.9,92.3,93.8
PRK,408,North Korea,50,50,50
PRT,620,Portugal,70,69,69
PRY,600,Paraguay,80.1,80,80.7
PSE,275,State of Palestine,NA,NA,NA
PYF,258,French Polynesia,37.4,37,36.7
QAT,634,Qatar,NA,NA,NA
ROU,642,Romania,83.7,84.4,86.2
RUS,643,Russia,86.9,87.5,89.7
RWA,646,Rwanda,40,39.9,39.8
SAU,682,Saudi Arabia,NA,NA,NA
SDN,729,Sudan,NA,NA,NA
SEN,686,Senegal,48.9,49.1,49.6
SGP,702,Singapore,64,63.9,63.9
SLB,90,Solomon Islands,40,40,40
SLE,694,Sierra Leone,58,58,58
SLV,222,El Salvador,50.4,49.1,48.4
SMR,674,San Marino,NA,NA,NA
SOM,706,Somalia,50,50,50
SRB,688,Serbia,51.8,54.7,54.5
SSD,728,South Sudan,NA,NA,NA
STP,678,Sao Tome and Principe,61,62.9,60.4
SUR,740,Suriname,71.8,72.1,70.3
SVK,703,Slovakia,92.9,91.3,92.5
SVN,705,Slovenia,93.9,96.5,96.2
SWE,752,Sweden,92.6,93.4,94.1
SWZ,748,Eswatini,50,50,50
SXM,534,Sint Maarten,NA,NA,NA
SYC,690,Seychelles,82.7,83.7,84.5
SYR,760,Syria,NA,NA,NA
TCA,796,Turks and Caicos Islands,NA,NA,NA
TCD,148,Chad,30,30.1,30
TGO,768,Togo,30,30,30
THA,764,Thailand,74.8,74.7,74.8
TJK,762,Tajikistan,164.7,150.1,165
TKM,795,Turkmenistan,56.1,56,55.5
TLS,626,Timor-Leste,40,40,40
TON,776,Tonga,47.9,48.2,48.5
TTO,780,Trinidad and Tobago,126.2,128,143.3
TUN,788,Tunisia,49.7,50.1,50
TUR,792,Turkey,NA,NA,NA
TUV,798,Tuvalu,30.1,30.1,30.1
TWN,158,Taiwan,101.5,102.1,102.6
TZA,834,Tanzania,40,40,40
UGA,800,Uganda,60,60,60
UKR,804,Ukraine,87.5,86.9,86.4
URY,858,Uruguay,69.7,68.3,66.5
USA,840,United States of America,95.7,95.7,95.9
UZB,860,Uzbekistan,165,165,165
VAT,336,Holy See,NA,NA,NA
VCT,670,Saint Vincent and the Grenadines,60,60,60
VEN,862,Venezuela,72.9,73.3,75
VGB,92,British Virgin Islands,48.8,48.2,47.7
VNM,704,Viet Nam,71.7,76.1,76.7
VUT,548,Vanuatu,51.1,51.1,51.1
WLF,876,Wallis and Futuna Islands,50,50,50
WSM,882,Samoa,35.1,35.1,35.1
XKX,689,Kosovo,NA,NA,NA
YEM,887,Yemen,NA,NA,NA
ZAF,710,South Africa,85.2,81,94.7
ZMB,894,Zambia,44,44,44
ZWE,716,Zimbabwe,54.8,54.8,54.8
