iso,code,country,B.2.3.1_raw_2016,B.2.3.1_raw_2017,B.2.3.1_raw_2018
MNE,499,Montenegro,1.2129,1.3008,1.2959
MNG,496,Mongolia,1.3119,1.4013,1.2521
MOZ,508,Mozambique,1.4342,1.3419,1.6759
MRT,478,Mauritania,0.7989,0.7989,0.7988
MUS,480,Mauritius,0.9645,0.9937,1.004
MWI,454,Malawi,2.4916,1.993,1.993
MYS,458,Malaysia,1.9927,2.0104,2.0169
NAM,516,Namibia,0.8,0.8,0.8
NCL,540,New Caledonia,2.0438,1.8217,1.7834
NER,562,Niger,0.8,0.8,0.8
NGA,566,Nigeria,1,1,1
NIC,558,Nicaragua,2.0658,2.0812,2.0565
NIU,570,Niue,0.9989,1.0042,1.0096
NLD,528,Netherlands,1.6595,1.6638,1.6895
NOR,578,Norway,1.3139,1.4165,1.4219
NPL,524,Nepal,0.7489,0.7651,0.7794
NRU,520,Nauru,0.8,0.8,0.8
NZL,554,New Zealand,1.9163,1.8689,1.8972
OMN,512,Oman,0.8,0.8,0.8
PAK,586,Pakistan,1.2,1.197,1.1919
PAN,591,Panama,1.6822,1.6822,1.717
PER,604,Peru,2.0343,2.065,2.0927
PHL,608,Philippines,1.1675,1.1779,1.1835
PLW,585,Palau,NA,NA,NA
PNG,598,Papua New Guinea,0.9,0.9,0.9
POL,616,Poland,1.8243,1.8473,1.871
PRK,408,North Korea,1.1,1.1,1.1
PRT,620,Portugal,1.5513,1.5846,1.5168
PRY,600,Paraguay,1,1,1
PSE,275,State of Palestine,1.6571,1.6556,1.6541
PYF,258,French Polynesia,0.9,0.9,0.9
QAT,634,Qatar,1.3003,1.314,1.2956
ROU,642,Romania,1.6349,1.6705,1.707
RUS,643,Russia,1.7029,1.749,1.7628
RWA,646,Rwanda,3,3,3
SAU,682,Saudi Arabia,1,1,1
SDN,729,Sudan,2.0261,2.089,2.1195
SEN,686,Senegal,1.3728,1.4068,1.4314
SGP,702,Singapore,1.9908,1.9903,1.9901
SLB,90,Solomon Islands,0.8,0.8,0.8
SLE,694,Sierra Leone,0.9,0.9,0.9
SLV,222,El Salvador,1.2777,1.2637,1.2518
SMR,674,San Marino,NA,NA,NA
SOM,706,Somalia,0.8,0.8,0.8
SRB,688,Serbia,1.8965,1.6792,1.743
SSD,728,South Sudan,1,1,1
STP,678,Sao Tome and Principe,0.6252,0.7698,0.5734
SUR,740,Suriname,1.6001,1.5999,1.6
SVK,703,Slovakia,1.537,1.5433,1.5602
SVN,705,Slovenia,1.656,1.6636,1.6939
SWE,752,Sweden,1.5026,1.4748,1.53
SWZ,748,Eswatini,1,1,1
SXM,534,Sint Maarten,NA,NA,NA
SYC,690,Seychelles,1.4736,1.5175,1.5507
SYR,760,Syria,1.2207,1.217,1.2224
TCA,796,Turks and Caicos Islands,NA,NA,NA
TCD,148,Chad,0.798,0.798,0.798
TGO,768,Togo,0.8,0.8,0.8
THA,764,Thailand,1.3314,1.3427,1.3495
TJK,762,Tajikistan,0.9326,0.9326,0.9193
TKM,795,Turkmenistan,1.2524,1.249,1.2457
TLS,626,Timor-Leste,0.8,0.8,0.8
TON,776,Tonga,0.7846,0.7785,0.7725
TTO,780,Trinidad and Tobago,1.9144,1.921,2.039
TUN,788,Tunisia,1.3369,1.3376,1.3696
TUR,792,Turkey,1.7058,1.7394,1.7555
TUV,798,Tuvalu,0.929,0.9331,0.9372
TWN,158,Taiwan,1.6595,1.6668,1.6779
TZA,834,Tanzania,1.0879,1.0538,1.0584
UGA,800,Uganda,1.2975,1.2974,1.2973
UKR,804,Ukraine,1.8853,1.8793,1.9111
URY,858,Uruguay,1.0388,1.034,1.0237
USA,840,United States of America,2.1,2.1148,2.136
UZB,860,Uzbekistan,1.8878,1.9787,2.0185
VAT,336,Holy See,NA,NA,NA
VCT,670,Saint Vincent and the Grenadines,1,1,1
VEN,862,Venezuela,1.7524,1.7647,1.7987
VGB,92,British Virgin Islands,NA,NA,NA
VNM,704,Viet Nam,1.7713,1.7661,1.7568
VUT,548,Vanuatu,1,1,1
WLF,876,Wallis and Futuna Islands,0.8013,0.8013,0.8013
WSM,882,Samoa,0.8,0.8,0.8
XKX,689,Kosovo,NA,NA,NA
YEM,887,Yemen,0.972,0.9708,1.0064
ZAF,710,South Africa,1.7934,1.7885,1.7549
ZMB,894,Zambia,1,1,1
ZWE,716,Zimbabwe,1.15,1.15,1.15
