iso,code,country,B.2.2.2_raw_2020
LBY,434,Libya,NA
LCA,662,Saint Lucia,NA
LIE,438,Liechtenstein,NA
LKA,144,Sri Lanka,12
LSO,426,Lesotho,NA
LTU,440,Lithuania,NA
LUX,442,Luxembourg,NA
LVA,428,Latvia,3.5
MAC,446,Macao,NA
MAR,504,Morocco,22.9
MCO,492,Monaco,NA
MDA,498,Moldova,NA
MDG,450,Madagascar,13.7
MDV,462,Maldives,8.6
MEX,484,Mexico,7.3
MHL,584,Marshall Islands,35.4
MKD,807,North Macedonia,NA
MLI,466,Mali,NA
MLT,470,Malta,16.7
MMR,104,Myanmar,12.6
MNE,499,Montenegro,NA
MNG,496,Mongolia,NA
MOZ,508,Mozambique,12.5
MRT,478,Mauritania,14.7
MUS,480,Mauritius,4.6
MWI,454,Malawi,NA
MYS,458,Malaysia,11.1
NAM,516,Namibia,16.7
NCL,540,New Caledonia,NA
NER,562,Niger,NA
NGA,566,Nigeria,15.5
NIC,558,Nicaragua,11.7
NIU,570,Niue,NA
NLD,528,Netherlands,8.3
NOR,578,Norway,11.9
NPL,524,Nepal,NA
NRU,520,Nauru,NA
NZL,554,New Zealand,7.3
OMN,512,Oman,25.7
PAK,586,Pakistan,6.2
PAN,591,Panama,6.2
PER,604,Peru,25.1
PHL,608,Philippines,8.5
PLW,585,Palau,NA
PNG,598,Papua New Guinea,3.1
POL,616,Poland,2.6
PRK,408,North Korea,NA
PRT,620,Portugal,1.6
PRY,600,Paraguay,NA
PSE,275,State of Palestine,NA
PYF,258,French Polynesia,NA
QAT,634,Qatar,NA
ROU,642,Romania,NA
RUS,643,Russia,3.8
RWA,646,Rwanda,NA
SAU,682,Saudi Arabia,12.3
SDN,729,Sudan,6.4
SEN,686,Senegal,9.9
SGP,702,Singapore,NA
SLB,90,Solomon Islands,9.2
SLE,694,Sierra Leone,31.1
SLV,222,El Salvador,0
SMR,674,San Marino,NA
SOM,706,Somalia,NA
SRB,688,Serbia,NA
SSD,728,South Sudan,NA
STP,678,Sao Tome and Principe,19.9
SUR,740,Suriname,8.8
SVK,703,Slovakia,NA
SVN,705,Slovenia,NA
SWE,752,Sweden,5.9
SWZ,748,Eswatini,NA
SXM,534,Sint Maarten,NA
SYC,690,Seychelles,8.9
SYR,760,Syria,NA
TCA,796,Turks and Caicos Islands,NA
TCD,148,Chad,NA
TGO,768,Togo,NA
THA,764,Thailand,3.3
TJK,762,Tajikistan,NA
TKM,795,Turkmenistan,NA
TLS,626,Timor-Leste,18.6
TON,776,Tonga,6.3
TTO,780,Trinidad and Tobago,9.8
TUN,788,Tunisia,24.6
TUR,792,Turkey,2.4
TUV,798,Tuvalu,NA
TWN,158,Taiwan,14.3
TZA,834,Tanzania,13.9
UGA,800,Uganda,NA
UKR,804,Ukraine,11.8
URY,858,Uruguay,7.1
USA,840,United States of America,8.9
UZB,860,Uzbekistan,NA
VAT,336,Holy See,NA
VCT,670,Saint Vincent and the Grenadines,NA
VEN,862,Venezuela,0
VGB,92,British Virgin Islands,NA
VNM,704,Viet Nam,35.3
VUT,548,Vanuatu,7.6
WLF,876,Wallis and Futuna Islands,NA
WSM,882,Samoa,8.6
XKX,689,Kosovo,NA
YEM,887,Yemen,NA
ZAF,710,South Africa,7.8
ZMB,894,Zambia,NA
ZWE,716,Zimbabwe,NA
