iso,code,country,B.2.1.2_raw_2016-2020
MDV,462,Maldives,NA
MEX,484,Mexico,1
MHL,584,Marshall Islands,NA
MKD,807,North Macedonia,NA
MLI,466,Mali,NA
MLT,470,Malta,NA
MMR,104,Myanmar,NA
MNE,499,Montenegro,1
MNG,496,Mongolia,1
MOZ,508,Mozambique,1
MRT,478,Mauritania,NA
MUS,480,Mauritius,NA
MWI,454,Malawi,1
MYS,458,Malaysia,1
NAM,516,Namibia,1
NCL,540,New Caledonia,NA
NER,562,Niger,1
NGA,566,Nigeria,NA
NIC,558,Nicaragua,NA
NIU,570,Niue,NA
NLD,528,Netherlands,1
NOR,578,Norway,1
NPL,524,Nepal,1
NRU,520,Nauru,NA
NZL,554,New Zealand,1
OMN,512,Oman,1
PAK,586,Pakistan,1
PAN,591,Panama,NA
PER,604,Peru,1
PHL,608,Philippines,NA
PLW,585,Palau,NA
PNG,598,Papua New Guinea,NA
POL,616,Poland,1
PRK,408,North Korea,NA
PRT,620,Portugal,1
PRY,600,Paraguay,1
PSE,275,State of Palestine,NA
PYF,258,French Polynesia,NA
QAT,634,Qatar,NA
ROU,642,Romania,1
RUS,643,Russia,1
RWA,646,Rwanda,NA
SAU,682,Saudi Arabia,1
SDN,729,Sudan,1
SEN,686,Senegal,1
SGP,702,Singapore,1
SLB,90,Solomon Islands,NA
SLE,694,Sierra Leone,NA
SLV,222,El Salvador,NA
SMR,674,San Marino,NA
SOM,706,Somalia,NA
SRB,688,Serbia,1
SSD,728,South Sudan,NA
STP,678,Sao Tome and Principe,NA
SUR,740,Suriname,NA
SVK,703,Slovakia,1
SVN,705,Slovenia,1
SWE,752,Sweden,1
SWZ,748,Eswatini,1
SXM,534,Sint Maarten,NA
SYC,690,Seychelles,NA
SYR,760,Syria,NA
TCA,796,Turks and Caicos Islands,NA
TCD,148,Chad,NA
TGO,768,Togo,NA
THA,764,Thailand,1
TJK,762,Tajikistan,NA
TKM,795,Turkmenistan,1
TLS,626,Timor-Leste,NA
TON,776,Tonga,NA
TTO,780,Trinidad and Tobago,NA
TUN,788,Tunisia,1
TUR,792,Turkey,1
TUV,798,Tuvalu,NA
TWN,158,Taiwan,NA
TZA,834,Tanzania,1
UGA,800,Uganda,1
UKR,804,Ukraine,1
URY,858,Uruguay,1
USA,840,United States of America,1
UZB,860,Uzbekistan,NA
VAT,336,Holy See,NA
VCT,670,Saint Vincent and the Grenadines,NA
VEN,862,Venezuela,NA
VGB,92,British Virgin Islands,NA
VNM,704,Viet Nam,NA
VUT,548,Vanuatu,NA
WLF,876,Wallis and Futuna Islands,NA
WSM,882,Samoa,NA
XKX,689,Kosovo,NA
YEM,887,Yemen,NA
ZAF,710,South Africa,NA
ZMB,894,Zambia,1
ZWE,716,Zimbabwe,1
